Continent,Country,Location,Latitude,Longitute,Year Opened,Year Closed,Number of rocket launches,Heaviest rocket launched,Highest achieved Orbit
Europe,Poland,Tuchola Forest,53.6197,17.98492,1944,1945,Unkown,Unkown,Unkown
Europe,Poland,?eba,54.76904,17.59355,1941,1945,Unkown,Unkown,Unkown
Europe,Poland,?eba-R?bka[citation needed],54.754486,17.517919,1963,1973,36  ,Unkown,Unkown
Europe,Poland,Blizna,50.1819,21.6162,1943,1944,139  ,Unkown,Unkown
Europe,Russia,"Kapustin Yar Cosmodrome, Astrakhan Oblast",48.57807,46.2542,1957,Operational,Unkown,Unkown,Orbital  
Europe,Russia,Nyonoksa,64.64928,39.18721,1965,1997,Unkown,Unkown,Unkown
Europe,Russia,Plesetsk Cosmodrome,62.92556,40.57778,1966,Operational,1000  ,760000,Orbital  
Europe,Spain,El Arenosillo,37.09687,-6.73863,1966,Operational,500  ,Unkown,Unkown
Europe,Sweden,Nausta,66.357202,19.275813,1961,1961,1  ,30  ,Suborbital
Europe,Sweden,Kronogård,66.4147,19.2767,1961,1964,18  ,700,Orbital  
Europe,Sweden,"Esrange, Kiruna",67.89342,21.10429,1966,1972,150  ,700,Orbital  
Europe,Sweden,"Esrange, Kiruna",67.89342,21.10429,1972,Operational,300  ,12400,Orbital  
Europe,United Kingdom,The Needles,50.6639345,-1.5763664,1956,1971,Unkown,Unkown,Unkown
Europe,United Kingdom,South Uist,57.33,-7.33,1959,Operational,Unkown,Unkown,Unkown
North America,Canada,"Fort Churchill, Manitoba",58.7343,-93.8203,1954,1985,3500  ,Unkown,Unkown
North America,Canada,"Resolute Bay, Nunavut",74.687,-94.8962,1966,1971,17  ,Unkown,Unkown
North America,Canada,Hall Beach,68.77607,-81.24346,1971,1971,7  ,Unkown,Orbital  
North America,Greenland,Thule Air Base,76.424,-68.2936,1964,1980,Unkown,Unkown,Unkown
North America,United States,"Wallops Flight Facility, Delmarva Peninsula, Virginia",37.84621,-75.47938,1945,Operational,Unkown,Unkown,Unkown
North America,United States,White Sands Missile Range,32.5646,-106.35908,1946,Operational,7000  ,Unkown,Unkown
North America,United States,Nevada Test and Training Range (formerly Nellis Air Force Range),36.7715,-116.11374,1955,Operational,Unkown,Unkown,Unkown
North America,United States,"Cape Canaveral Air Force Station, Florida",28.46675,-80.55852,1956,Operational,Unkown,Unkown,Interplanetary  
North America,United States,"Vandenberg Air Force Base, California",34.77204,-120.60124,1958,Operational,Unkown,Unkown,Orbital  
North America,United States,"Kennedy Space Center, Florida",28.6082,-80.604,1963,Operational,151  ,3000000 ,Lunar  
North America,United States,"Pacific Missile Range Facility, Hawaii",22.02278,-159.785,1963,Operational,Unkown,Unkown,Unkown
North America,United States,"Keweenaw, Michigan",47.4298,-87.71443,1964,1971,50  ,770,Suborbital
North America,United States,"Kodiak Launch Complex, Alaska",57.43533,-152.33931,1991,Operational,14  ,86000  ,Orbital  
North America,United States,"Mojave Air and Space Port, California",35.0591,-118.1488,2004,Operational,Unkown,Unkown,Orbital  
North America,United States,"Spaceport America (formerly Southwest Regional Spaceport), Upham, New Mexico",32.88943,-106.99945,2006,Operational,8  ,Unkown,Unkown
North America,United States,"Mid-Atlantic Regional Spaceport (MARS), Delmarva Peninsula, Virginia",37.833378,-75.483284,2006,Operational,6  ,89805,Lunar  
South America,Argentina,Puerto Belgrano,38.9,-62.0167,2017,Operational,Unkown,Unkown,Unkown
South America,Argentina,Punta Indio,35.2667,-57.2333,2014,Operational,2  ,2800  ,Suborbital
South America,Argentina,CELPA,30.12737,-66.34082,1962,Operational,100,933,Orbital  
South America,Argentina,Serrezuela,30.6333,-65.3833,2009,Operational,1  ,500,Suborbital
South America,Argentina,Las Palmas,27.09531,-58.75352,1966,1966,2  ,3400,Orbital  
South America,Argentina,Tartagal,22.76158,-63.82381,1966,1966,,Unkown,Unkown
South America,Argentina,Mar Chiquita,37.72427,-57.40512,1968,1972,11  ,Unkown,Unkown
South America,Argentina,Villa Reynolds,33.7246,-65.3773,1973,1973,2  ,Unkown,Unkown
South America,Argentina,Pampa de Achala,31.5833,-64.8333,1961,1962,8  ,28  ,Suborbital
South America,Brazil,Natal/Barreira,5.866,-35.383,1965,Operational,233  ,Unkown,1100 km  
South America,Brazil,Praia do Cassino,32.08338,-52.16725,1966,1966,27  ,Unkown,Unkown
