"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data
3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,,LEO,,0.00,476,500,1.75E-03,97.4,95,4,,,11/29/2018,,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,2018-096K,43728,Student built.,Estimated
Aalto-1 ,Finland,Finland,University of Aalto,Civil,Technology Development,,LEO,,0.00,497,517,1.45E-03,97.45,94.7,5,,4.5,6/23/2017,2,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.,JMSatcat/10_17
AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,442,687,1.77E-02,98.2,95.9,1,,,4/25/2016,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,Space50
"ABS-2 (Koreasat-8, ST-3)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.00,"35,778","35,793",1.78E-04,0.08,1436.03,"6,330",,"16,000",2/6/2014,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.",ZARYA
ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75.00,"35,700","35,700",0.00E+00,0,1436.1,"1,800",,,6/15/2016,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,,Estimated
ABS-3A ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3.00,"35,788","35,803",1.78E-04,0.1,1436,"2,000",,,3/2/2015,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Coverage of Americas Europe and Africa.,
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.00,"35,780","35,793",1.54E-04,0.01,1436.1,"4,143","1,700","7,400",3/13/2004,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.,JM/12_08
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159.00,"35,777","35,794",2.02E-04,0.01,1436.08,"2,894","1,730","6,800 (EOL)",9/26/1999,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.",JM/12_08
"ABS-7 (Koreasat 3, Mugungwha 3)",South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,"35,780","35,791",1.30E-04,0.01,1436.06,"3,500","1,800","4,800",9/4/1999,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",JM/12_08
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26.00,"35,560","36,013",5.37E-03,7.72,1436.14,"4,500",,,5/9/1998,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.,JM/12_08
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.40,"35,589","35,984",4.68E-03,3.2,1436.1,"4,500",,,9/9/2003,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,Electronic intelligence (ELINT). ,JM/12_08
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44.00,"35,714","35,937",2.64E-03,2.89,1438.8,"5,000",,,1/18/2009,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.,SC - ASCR
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,100.90,"35,500","35,500",0.00E+00,0,1436,"5,000",,,11/21/2010,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,ELINT.,SC - ASCR
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60.00,"35,771","35,805",4.03E-04,0,1436.1,"5,000",,,6/29/2012,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,ELINT.,CalSky
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.60,"35,613","35,903",3.44E-03,7.51,1437.19,"5,000",,,6/11/2016,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ELINT.,ZARYA
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,US Air Force,Military,Communications,,GEO,,-120.00,"35,772","35,801",3.44E-04,2.34,1436.1,"6,169",,,5/3/2012,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Second in constellation.,ZARYA
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,US Air Force,Military,Communications,,GEO,,152.10,"35,700","35,803",1.22E-03,4.2,1436.1,"6,169",,,9/18/2013,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,Third in constellation.,ZARYA
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA,USA,US Air Force,Military,Communications,,GEO,,150.20,"35,781","35,790",1.07E-04,0.05,1436.1,"6,169",,,10/17/2018,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651,,JMGEO/11_19)
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",NR (11/19),USA,US Air Force,Military,Communications,,GEO,,0.00,"35,780","35,810",3.56E-04,6.4,1436.2,"6,169",,,8/8/2019,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,,JMGEO/11_19)
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0.00,480,790,2.21E-02,0.02,97.4,3,,,9/13/2012,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonstration program to track cargo containers worldwide.,ZARYA
Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,,0.00,314,317,2.24E-04,96.7,92.4,"1,367",,,8/22/2018,3,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment.",JMSatcat/11_18
Aerocube 10A (Jimsat),NR (11/19),USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,469,481,8.77E-04,51.6,94.15,2,,,8/9/2019,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,,JMSatcat/11_19
Aerocube 10B (Dougsat),NR (11/19),USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,471,483,8.76E-04,51.6,94.15,2,,,8/9/2019,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,,JMSatcat/11_19
Aerocube 11A (TOMSat Eagle Scout),NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.00,495,511,1.16E-03,85.03,94.6,4,,,12/17/2018,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,Will test miniaturized imagers.,JMSatcat/3_19
Aerocube 11B (TOMSat R3),NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.00,492,511,1.38E-03,85.3,94.6,4,,,12/17/2018,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,Will test miniaturized imagers.,JMSatcat/3_19
Aerocube 12A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,481,487,4.38E-04,51.6,94.2,4,,,7/16/2018,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556,,JMSatcat/3_19
Aerocube 12B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,481,487,4.38E-04,51.6,94.2,4,,,7/16/2018,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557,,JMSatcat/3_19
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,500,802,2.15E-02,64.78,97.74,2,,,10/8/2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication.",JR/12_15
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,614,700,6.12E-03,97.98,97.88,5,,,6/19/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.,ZARYA
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,614,700,6.12E-03,97.98,97.88,5,,,6/19/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.,ZARYA
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,500,802,2.15E-02,64.6,97.4,2,,,10/8/2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,,JM/12_15
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,356,700,2.49E-02,55,95.19,5,,,5/20/2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,,JM/8_15
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,356,700,2.49E-02,55,95.19,5,,,5/20/2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,,JM/8_15
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,572,584,8.64E-04,98,96.23,2,,,11/11/2016,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,,prehled druzic
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,Multinational,EUTELSAT S.A.,Commercial,Communications,,GEO,,48.00,"35,764","35,808",5.22E-04,0.12,1436.08,"3,460","1,555","7,000",12/20/2008,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,JM/12_08
AIM (Aeronomy of Ice in Mesosphere),USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.00,544,552,5.78E-04,97.9,96.2,215,197,216,4/25/2007,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,www.satellitedebris.net 12/12
AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,643,660,1.21E-03,98.25,97.76,14,,,6/30/2014,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Satellite equipped with AIS tracking.,ZARYA
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,615,632,1.22E-03,98,97.2,6,,,7/12/2010,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,www.satellitedebris.net 12/12
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,625,631,4.29E-04,98.4,97.27,6,,,7/8/2014,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Second in the series.,ZARYA
AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,,LEO,Polar,0.00,599,626,1.93E-03,82.4,96.9,,,,12/28/2013,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,ZARYA
AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,,LEO,Non-Polar Inclined,0.00,558,582,1.73E-03,64.88,96.06,53,,,4/19/2013,3,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,
AIST-2D,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,,LEO,Sun-Synchronous,0.00,471,486,1.10E-03,97.28,94.18,531,,,4/27/2016,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures.",Space50
AISTechSat-2,NR,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,574,592,1.29E-03,97.8,96.4,3,,,12/3/2018,,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.,JMSatcat/3_19
AISTechSat-3,NR (11/19),Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,490,506,1.16E-03,97.5,94.6,2,,,4/1/2019,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2019-018AB,44103,Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.,JMSatcat/11_19
Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,,GEO,,-20.00,"35,777","35,796",2.25E-04,0,1436,"3,795",,,1/25/2018,15,Orbital ATK,USA,Guiana Space Center,Ariane 5,2018-012A,43174,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well.",JMGEO/5_18
Alcomsat (Algerian Communications Satellite),Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,,GEO,,-24.80,"35,744","35,798",6.41E-04,0.04,1436.1,"5,225",,,12/10/2017,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2017-078A,43039,Algeria's first communications satellite.,JMGEO/3_18
ALE-1 (Astro Live Experiences 1),Japan,Japan,Astro Live Experiences,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,479,512,2.40E-03,97.3,94.5,68,,,1/18/2019,2,Astro Live Experiences,Japan,Uchinoura Space Center,Epsilon,2019-003G,43938,Will create artificial meteor showers.,JMSatcat/3_19
Al-Farabi-2,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,LEO,Sun-Synchronous,0.00,573,589,1.15E-03,97.7,96.2,4,,,12/3/2018,,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805,Technology demonstration mission.,JMSatcat/3_19
ALiCE  (AFIT LEO iMESA CNT E),NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,0.00,443,886,3.15E-02,120.3,98,5,,,12/6/2013,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.,ZARYA estimated
Alsat 2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,646,660,9.97E-04,98.2,97.7,117,,,9/26/2016,5,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Surveillance.,JMSatcat/12_16
Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,661,704,3.05E-03,98.2,98.4,103,,,9/26/2016,5,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,",JMSatcat/12_16
AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,0.00,661,698,2.62E-03,98.2,98.3,10,,,9/26/2016,,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Technology demonstration satellite for Algerian students.,JMSatcat/12_16
Alsat-2A (Algeria Satellite 2A),Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,672,674,1.42E-04,98.1,98.2,130,,,7/12/2010,5,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.",www.satellitedebris.net 12/12
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,"35,767","35,805",4.51E-04,0.03,1436.08,"5,465",,"15,300",10/1/2009,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America.",JM/12_09
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,"35,781","35,791",1.19E-04,0.03,1436.05,"6,265","2,778","14,000",2/7/2013,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,,SC - ASCR
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,"35,784","35,795",1.30E-04,0.08,1436.24,"2,938",,,3/22/2014,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,Suffered a power malfunction shortly after entering orbit; will affect capacity.,SC - ASCR
Amazonas-5,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,"35,785","35,789",4.74E-05,0.04,1436.11,"5,900",,,9/12/2017,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-053A,42934,"34 Ka-band, 24 Ku-band",JM/3_18
"AMC-1 (Americom 1, GE-1)",USA,USA,SES S.A.,Commercial,Communications,,GEO,,-129.15,"35,772","35,800",3.32E-04,0.03,1436.1,"2,783","1,600","6,500 (EOL)",9/8/1996,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",JM/12_08
"AMC-10 (Americom-10, GE 10)",USA,USA,SES S.A.,Commercial,Communications,,GEO,,-134.97,"35,775","35,797",2.61E-04,0.01,1436.09,"2,315",907,"6,500 (EOL)",2/5/2004,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,24 C-band transponders.,JM/12_08
"AMC-11 (Americom-11, GE 11)",USA,USA,SES S.A.,Commercial,Communications,,GEO,,-130.93,"35,774","35,797",2.73E-04,0.04,1436.07,"2,340","2,316","6,500 (EOL)",5/19/2004,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,JM/12_08
AMC-15 (Americom-15),USA,USA,SES S.A.,Commercial,Communications,,GEO,,-105.04,"35,777","35,795",2.13E-04,0.04,1436.08,"4,200",,,10/14/2004,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",JM/12_08
AMC-16 (Americom-16),USA,USA,SES S.A.,Commercial,Communications,,GEO,,-84.98,"35,780","35,793",1.54E-04,0.02,1436.1,"4,312",,,12/17/2004,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",JM/12_08
AMC-18 (Americom 18),USA,USA,SES S.A.,Commercial,Communications,,GEO,,-104.97,"35,773","35,800",3.20E-04,0.06,1436.1,"2,081",918,,12/8/2006,15,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.,JM/12_08
"AMC-2 (Americom 2, GE-2)",USA,USA,SES S.A.,Commercial,Communications,,GEO,,-100.98,"35,774","35,798",2.85E-04,0.05,1436.1,"2,648","1,600","6,500 (EOL)",1/30/1997,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",JM/12_08
AMC-21 (Americom 21),United Kingdom,USA,SES S.A.,Commercial,Communications,,GEO,,-124.86,"35,778","35,793",1.78E-04,3,1436.1,"2,500",,"5,000",8/14/2008,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean.",JM/12_08
"AMC-4 (Americom-4, GE-4)",USA,USA,SES S.A./Gogo,Commercial,Communications,,GEO,,-100.99,"35,781","35,791",1.19E-04,0.01,1436.1,"3,909","2,500",,11/13/1999,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band",JM/12_08
"AMC-6 (Americom-6, GE-6)",USA,USA,SES S.A.,Commercial,Communications,,GEO,,-71.98,"35,778","35,795",2.02E-04,0.05,1436.12,"3,901","2,500",,10/22/2000,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",JM/12_08
"AMC-7 (Americom-7, GE-7)",USA,USA,SES S.A.,Commercial,Communications,,GEO,,-136.94,"35,773","35,798",2.97E-04,0.01,1436.08,"1,935",912,"6,500 (EOL)",9/14/2000,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495,"Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",JM/12_08
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,USA,SES S.A.,Commercial,Communications,,GEO,,-139.00,"35,773","35,798",2.97E-04,0.03,1436.07,"2,015",919,"3,300",12/19/2000,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",JM/12_08
AmGU-1 (AmurSat-1),Russia,Russia,Moscow State University,Civil,Space Science,,LEO,Sun-Synchronous,0.00,514,547,2.39E-03,97.5,95.2,4,,,7/5/2019,,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038J,44394,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.,
Amos 17,NR (11/19),Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,17.00,"35,777","35,793",1.90E-04,0,1436.04,"6,500",,,8/6/2019,20,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2019-050A,44479,Replaces Amos 5 which failed in 2015.,JMGEO/11_19)
Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,-3.99,"35,783","35,789",7.12E-05,0.04,1436.1,,,,4/28/2008,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"15 transponders, Ku and Ka bands.",JM/12_08
Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,65.00,"35,633","35,796",1.94E-03,0.01,1432,,,,8/31/2013,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.",
Amsat-Oscar 7 (AO-7),USA,USA,AMSAT-NA,Civil,Communications,,LEO,Polar,0.00,"1,440","1,459",1.21E-03,101.4,114.9,29,,,11/15/1974,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,American amateur radio satellite.,www.satellitedebris.net 12/12
Anik F1 ,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.27,"35,778","35,793",1.78E-04,0.02,1436.08,"4,710","2,950","15,500 (EOL)",11/21/2000,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,"36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005.",JM/12_08
Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.30,"35,777","35,795",2.13E-04,0.02,1436.1,"4,500",,"10,000",9/9/2005,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,"32 Ku-band, 24 C-band transponders, 2 navigation transponders; North America.",JM/12_08
Anik F2 ,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-111.07,"35,781","35,790",1.07E-04,0.01,1436.08,"5,910","3,805","16,000",7/18/2004,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada",JM/12_08
Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-118.69,"35,778","35,794",1.90E-04,0.01,1436.1,"4,715",,"17,500",4/9/2007,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.",JM/12_08
