"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data
Brazilsat B-4 (Brasilsat B-4),Brazil,Brazil,Embratel Star One,Commercial,Communications,,GEO,,-84.03,"35,772","35,800",3.32E-04,0.07,1436.09,"2,495","1,050","1,800 (BOL)",8/17/2000,12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,2000-046A,26469,28 C-band; voice and video communications to all of South America.,JM/12_08
BRICSat-2 (Ballistically Reinforced Communication Satellite),NR (11/19),USA,US Naval Academy Satellite Laboratory,Civil,Technology Development,,Elliptical,,0.00,300,847,3.94E-02,28.5,96.1,6,,,6/25/2019,,US Naval Academy Satellite Laboratory,USA,Cape Canaveral,Falcon Heavy,2019-036S,44355,Sister cubesat to Psat-2.  Thruster experiment to see if it can maneuver to better separate from PSAT2 to provide better dual coverage for users.,JMSatcat/11_19
BRIO ,NR,USA,SpaceQuest,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,574,591,1.22E-03,97.7,96.3,4,,,12/3/2018,,SpaceQuest,USA,Vandenberg AFB,Falcon 9,2018-099BH,43813,Built to test Myriota's IoT network advances.,JMSatcat/3_19
BRISat,Indonesia,Indonesia,Bank Rakyat Indonesia (BRI),Commercial,Communications,,GEO,,150.50,"35,702","35,876",2.06E-03,0.07,1436.2,"3,540",,,6/19/2016,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2016-039A,41591,First satellite owned and operated by a bank. Will expand secure banking communications to almost 60 million customers across the Indonesia archipelago.,ZARYA
BRITE-CA-1 (BRITE Toronto),NR,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Space Science,,LEO,Sun-Synchronous,0.00,613,739,8.94E-03,97.97,98.27,10,,,6/19/2014,,"University of Toronto, Institute for Aerospace Studies",Canada,Dombarovsky Air Base,Dnepr,2014-033L,40020,"Canadian contribution to the BRITE (Bright Target Explorer) mission, developedby a consoritum of Canadian, Austrian and Polish institutes. It will study the brightest stars in the Milky Way galaxy.",ZARYA
"BRITE-PL-1 (BRIght-star Target Explorer - Poland, Lem)",Poland,Multinational,BRITE Consortium,Government,Space Science,,LEO,Sun-Synchronous,0.00,594,886,2.05E-02,97.7,99.6,10,,,11/21/2013,2,"Space Research Center, Polish Academy of Sciences",Poland,Dombarovsky Air Base,Dnepr,2013-066R,39431,"Polish contribution to the BRITE (Bright Target Explorer) mission, developed by a consortium of Canadian, Austrian and Polish institutes. It will study the brightest stars in the Milky Way galaxy. First constellation of nanosatellites.",ZARYA
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)",NR,Multinational,BRITE Consortium,Government,Space Science,,LEO,Sun-Synchronous,0.00,610,633,1.64E-03,98.02,97.1,10,,,8/19/2014,2,"Space Research Center, Polish Academy of Sciences",Poland,Taiyuan Launch Center,CZ-4B,2014-049B,40119,Second Polish contribute to the BRITE mission.,ZARYA
BRO-One,NR (11/19),France,UnseenLabs,Commercial,Earth Observation,Maritime Surveillance,LEO,Non-Polar Inclined,0.00,536,550,1.01E-03,45.01,95.5,8,,,8/19/2019,,GomSpace ApS,Denmark,Rocket Lab Launch Complex 1,Electron,2018-054A,44495,Maritime surveillance by spectrum monitoring.,JMSatcat/11_19
BSAT-3A,Japan,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,,GEO,,109.91,"35,778","35,794",1.90E-04,0.03,1436.1,"1,980",,,8/14/2007,13,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-036B,32019,Twelve 130W Ku-band transponders; HD TV.,JM/12_08
BSAT-3B,Japan,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,,GEO,,110.00,"33,066","35,725",3.26E-02,0.07,1365.61,"2,060",975,,10/28/2010,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2010-056B,37207,Broadcast 130W Ku-band transponders.,SC - ASCR
BSAT-3C/JCSat 110-R,Japan,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,110.00,"35,784","35,787",3.56E-05,0.05,1436.04,"2,910",,,8/6/2011,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2011-041B,37776,Co-owned by two companies.,SC - ASCR
BSAT-4A,Japan,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,,GEO,,110.00,"35,719","35,725",7.13E-05,0.02,1432.7,"3,520",,,9/29/2017,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2017-059B,42951,"24 Ku-band transponders. Will provide HD, 4K and 8K Ultra HD television broadcasts over Japan.",JM/3_18
Buccaneer RMM,Australia,Australia,Defence Science and Technology Group/University of New South Wales,Military/Civil,Technology Development,,LEO,,0.00,459,819,2.57E-02,97.6,97.4,4,,,11/18/2017,5,Defence Science and Technology Group/University of New South Wales,Australia,Vandenberg AFB,Delta 2,2017-073B,43014,Calibrate over-the-horizon radars used by the Australian military and put Australia back into space.,JMSatcat/3_18
Bufeng-1A,NR (11/19),China,China Academy of Space Technology (CAST),Government,Earth Observation,Meteorology,LEO,Non-Polar Inclined,0.00,555,575,1.44E-03,45,96,,,,6/5/2019,,China Academy of Space Technology (CAST),China,Yellow Sea Launch Platform,Long March 11,2019-032C,44312,Measure wind speeds over the ocean.,JMSatcat/11_19
Bufeng-1B,NR (11/19),China,China Academy of Space Technology (CAST),Government,Earth Observation,Meteorology,LEO,Non-Polar Inclined,0.00,554,576,1.59E-03,45,96,,,,6/5/2019,,China Academy of Space Technology (CAST),China,Yellow Sea Launch Platform,Long March 11,2019-032E,44314,,HMSatcat/11_19
Bugsat-1 (Tita),NR,Argentina,Satellogic S.A.,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,570,617,3.37E-03,97.99,96.55,25,,,6/19/2014,,Satellogic S.A.,Argentina,Dombarovsky Air Base,Dnepr,2014-033E,40014,Technological demonstration of a platform of small satellite for Earth observation that the company plans to put into orbit to provide a commercial service at a global level. ,ZARYA
BulgariaSat-1,NR,Bulgaria,Bulsatcom,Commercial,Communications,,GEO,,1.90,"35,774","35,797",2.73E-04,0,1436,"3,669",,,6/23/2017,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2017-038A,42801,Bulgaria's first communications satellite.,JMGeo/10_17
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),France,France/USA,Centre National d'Etudes Spatiales (CNES)/NASA,Government,Earth Science,,LEO,Sun-Synchronous,0.00,702,703,7.07E-05,98.2,98.8,587,,550,4/28/2006,3,Alcatel Alenia Space,France,Vandenberg AFB,Delta 2,2006-016B,29108,,www.satellitedebris.net 12/12
Can-X2 (Canadian Advanced Nanospace experiment),Canada,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Technology Development,,LEO,Sun-Synchronous,0.00,609,629,1.43E-03,97.8,97.1,7,,,4/28/2008,,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV C9,2008-021H,32790,Will downlink telemetry.,www.satellitedebris.net 12/12
Can-X4,NR,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Technology Development,,LEO,Sun-Synchronous,0.00,642,659,1.21E-03,97.74,98.26,15,,,6/30/2014,,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV-CA,2014-034C,40055,,ZARYA
Can-X5,NR,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Technology Development,,LEO,Sun-Synchronous,0.00,643,656,9.26E-04,98.26,97.72,15,,,6/30/2014,,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV-CA,2014-034D,40056,Demonstrate formation flying by a pair of nanosatellites,ZARYA
CanX-7,Canada,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Technology Development,,LEO,Sun-Synchronous,0.00,661,701,2.84E-03,98.2,98.3,15,,,9/26/2016,,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2016-059F,41788,Technology development mission validating a deorbit drag sail.,JMSatcat/12_16
Capella-1 (Denali),NR,USA,Capella Space,Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.00,573,591,1.29E-03,97.7,96.3,37,,,12/3/2018,,Capella Space,USA,Vandenberg AFB,Falcon 9,2018-099AK,43791,First of a planned 30-satellite constellation using radar imaging. Pathfinder.,JMSatcat/3_19
CartoSat 1 (IRS P5),India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,618,619,7.15E-05,97.9,97.1,"1,560","1,450","1,100",5/5/2005,6,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,2005-017A,28649,"Remote sensing and mapping, land use, forest cover, river flow assessments.",www.satellitedebris.net 12/12
